session_id,started_by,created_at,summary_status,duration,worker_time,bundle_time,num_workers,branch,commit_id,started_tests_count,passed_tests_count,failed_tests_count,pending_tests_count,skipped_tests_count,error_tests_count
passed,415,9960,0,24,production,dc10dc2fa91f83b8af683b89ef7e07b7f013ebae,0,309,0,3,0,0,,,
passed,392,9408,0,24,production,ac623d5e7ab289c346c35a6d2419a28e013d07e9,0,309,0,3,0,0,,,
passed,584,14016,0,24,production,d6047947a9253a0f138fc0131eb886e63cf3b969,0,308,0,3,0,0,,,
passed,397,9528,0,24,production,3200f5484c585df8386244ecdaf90ec9ad84f4d4,0,308,0,3,0,0,,,
failed,440,10560,0,24,production,b4ccddcf3bdb40bc1b12008027faa13a28a155fb,0,307,1,3,0,0,,,
failed,429,10296,0,24,production,b4ccddcf3bdb40bc1b12008027faa13a28a155fb,0,306,2,3,0,0,,,
passed,445,10680,0,24,production,e24c12e655d56094070f25832d7b53daf0ab3e7a,0,308,0,3,0,0,,,
failed,622,14928,0,24,production,0dc1a70a6f2feca32637fec754a5b901dccc62d7,0,307,1,3,0,0,,,
failed,420,10080,0,24,production,b7e7aa1bc2fd2a62c2ef19bb7933ea6d99df1fdc,0,307,1,3,0,0,,,
passed,409,9816,0,24,production,e56b65559e84739ddb3ef9d019766237106ea8cb,0,308,0,3,0,0,,,
failed,391,9384,0,24,production,cb3bdef3c11bc471e4c6549e7cc499cab4294d45,0,307,1,3,0,0,,,
passed,583,13992,0,24,production,cb3bdef3c11bc471e4c6549e7cc499cab4294d45,0,308,0,3,0,0,,,
passed,487,11688,0,24,production,e9c9451e8706098385b90c5a35628b001b036d39,0,308,0,3,0,0,,,
passed,439,10536,0,24,production,0c78f2a9693855bd685de146689b4e9ccafc0b52,0,308,0,3,0,0,,,
failed,553,13272,0,24,production,0c78f2a9693855bd685de146689b4e9ccafc0b52,0,307,1,3,0,0,,,
passed,386,9264,0,24,production,0c78f2a9693855bd685de146689b4e9ccafc0b52,0,308,0,3,0,0,,,
passed,571,13704,0,24,production,e883f6e7ee6d7b6c1d297bd77265a637eacf01d5,0,308,0,3,0,0,,,
passed,432,10368,0,24,production,e883f6e7ee6d7b6c1d297bd77265a637eacf01d5,0,308,0,3,0,0,,,
passed,415,9960,0,24,production,f5834c9dd4841afdde8e99a60a5b8ce7cac9c716,0,308,0,3,0,0,,,
passed,653,15672,0,24,production,fc6f89c80232eb60a6a65df05c64d1dbe132ad04,0,308,0,3,0,0,,,
passed,410,9840,0,24,production,d2376d52d616ec2d654e7576806fb4ac0f220db9,0,308,0,3,0,0,,,
passed,546,13104,0,24,production,d857bc4196276d68cf0033b53b80fe4adce66ece,0,308,0,3,0,0,,,
passed,415,9960,0,24,production,16899c50e89b2e50f4244006b86ca258d3fc825e,0,308,0,3,0,0,,,
passed,397,9528,0,24,production,7068fe7ee9fbdf35ad9dc6b4f46956e711021835,0,308,0,3,0,0,,,
passed,388,9312,0,24,production,4449e9ee2ce79b6a372f770966f0be0ec517b010,0,308,0,3,0,0,,,
passed,564,13536,0,24,production,cfc3057f19ec484d19747194291a695a67e03e55,0,308,0,3,0,0,,,
stopped,0,0,0,0,production,38baa112e9e517ad791d6b88196360e75fa11166,0,0,0,0,0,311,,,
passed,712,12718,190,24,production,b9d57a7438f6970513769195e35f10e7d6600635,0,307,0,3,0,0,,,
failed,707,11057,257,24,production,45db6ea29706258d50f527d966b1ba715acfd520,0,306,1,3,0,0,,,
passed,796,14366,206,24,production,209c397c0901f817a14e1933f25210e5774517d0,0,306,0,3,0,0,,,
passed,575,9430,190,24,production,797dc05758354c808fd57ec15fca3dfef3501965,0,306,0,3,0,0,,,
failed,589,9812,188,24,production,bef859ca8e21c9ed34f94e2e42ff0c7ef5fbcd3a,0,305,1,3,0,0,,,
passed,730,13196,188,24,production,b85ccdb9ee66232e8c7a5c3a84af9f34e9651c82,0,306,0,3,0,0,,,
stopped,607.197799,14572.747176,0,24,production,2e62e12b73944cc14f8a065b2c3d51c276587728,0,168,0,3,0,138,,,
error,0,0,0,0,production,2e62e12b73944cc14f8a065b2c3d51c276587728,0,0,0,0,0,309,,,
passed,580,9527,191,24,production,3f3ae80b8ad05d696c20125e5b4eff485eaac966,0,306,0,3,0,0,,,
failed,385,9240,0,24,production,abcd4dfaecbe2510b865b95ddbf95ccd11110f7c,0,305,1,3,0,0,,,
passed,566,13584,0,24,production,389c7832bab54bd52a107a32f60de4c1749ff815,0,306,0,3,0,0,,,
passed,423,10152,0,24,production,d491817b06a7089d81283a7d1f42078b4171e993,0,306,0,3,0,0,,,
passed,586,14064,0,24,production,d491817b06a7089d81283a7d1f42078b4171e993,0,306,0,3,0,0,,,
passed,526,12624,0,24,production,119305cd8f613f8d1f0a373dd6bf0657e3d79f12,0,303,0,3,0,0,,,
passed,436,10464,0,24,production,5d2d283c1187b730d9427a917884aa03343bfad7,0,303,0,3,0,0,,,
passed,402,9648,0,24,production,a2c171971926a7f7efcec26adc0e972908bcc716,0,303,0,3,0,0,,,
passed,426,10224,0,24,production,4b9f27bfcff499d22c88b76677fb7446acf5146f,0,303,0,3,0,0,,,
passed,388,9312,0,24,production,d00237430e4e452654328ecd9ab6785002075a65,0,303,0,3,0,0,,,
passed,412,9888,0,24,production,1620feee200bc10cafa40e3127e7f0e932f4dec4,0,303,0,3,0,0,,,
passed,547,13128,0,24,production,eb6ad593d67001a38ad515db95fb833373b37e53,0,298,0,3,0,0,,,
passed,519,12456,0,24,production,e7c75cd2b9a6dc1003c4b0af8997e1c37a547250,0,298,0,3,0,0,,,
passed,504,12096,0,24,production,439f6b674d9904b1257d236d1b223c7e598cc572,0,298,0,3,0,0,,,
